country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB","29-08-2025 13:00:00",17.544899,78.486949,SO2,6,12,7
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB","29-08-2025 13:00:00",17.429398,78.569354,SO2,15,21,17
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad - TSPCB","29-08-2025 13:00:00",17.429398,78.569354,OZONE,18,29,20
India,TamilNadu,Nagapattinam,"Velippalayam, Nagapattinam - TNPCB","29-08-2025 13:00:00",10.798548,79.838212,CO,11,16,14
India,TamilNadu,Namakkal,"Ponnusamy Nagar, Namakkal - TNPCB","29-08-2025 13:00:00",11.273992,78.163545,NH3,2,2,2
India,TamilNadu,Namakkal,"Ponnusamy Nagar, Namakkal - TNPCB","29-08-2025 13:00:00",11.273992,78.163545,SO2,13,17,15
India,TamilNadu,Namakkal,"Ponnusamy Nagar, Namakkal - TNPCB","29-08-2025 13:00:00",11.273992,78.163545,CO,6,10,8
India,TamilNadu,Namakkal,"Ponnusamy Nagar, Namakkal - TNPCB","29-08-2025 13:00:00",11.273992,78.163545,OZONE,9,11,10
India,TamilNadu,Ooty,"Bombay Castel, Ooty - TNPCB","29-08-2025 13:00:00",11.4068288,76.7138973,SO2,22,24,23
India,TamilNadu,Tirunelveli,"Municipal Corporation Office, Tirunelveli - TNPCB","29-08-2025 13:00:00",8.728442,77.6962,NH3,2,11,6
India,TamilNadu,Tirupur,"Kumaran College, Tirupur - TNPCB","29-08-2025 13:00:00",11.0973603,77.3228673,CO,12,14,12
India,TamilNadu,Vellore,"Vasanthapuram, Vellore - TNPCB","29-08-2025 13:00:00",12.909494,79.131861,PM2.5,11,31,17
India,TamilNadu,Vellore,"Vasanthapuram, Vellore - TNPCB","29-08-2025 13:00:00",12.909494,79.131861,NH3,1,6,3
India,TamilNadu,Cuddalore,"Kudikadu, Cuddalore - TNPCB","29-08-2025 13:00:00",11.6829898,79.7532099,NH3,3,3,3
India,TamilNadu,Dindigul,"Mendonsa Colony, Dindigul - TNPCB","29-08-2025 13:00:00",10.358535,77.984321,NO2,6,10,8
India,TamilNadu,Dindigul,"Mendonsa Colony, Dindigul - TNPCB","29-08-2025 13:00:00",10.358535,77.984321,NH3,2,3,2
India,TamilNadu,Dindigul,"Mendonsa Colony, Dindigul - TNPCB","29-08-2025 13:00:00",10.358535,77.984321,SO2,19,24,21
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB","29-08-2025 13:00:00",17.540891,78.358528,NH3,4,6,4
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad - TSPCB","29-08-2025 13:00:00",17.540891,78.358528,CO,24,39,29
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB","29-08-2025 13:00:00",17.518400,78.278777,PM10,31,48,39
India,Telangana,Hyderabad,"ICRISAT Patancheru, Hyderabad - TSPCB","29-08-2025 13:00:00",17.518400,78.278777,NH3,1,2,1
India,TamilNadu,Karur,"Kamadenu Nagar, Karur - TNPCB","29-08-2025 13:00:00",10.967820,78.080882,OZONE,6,8,8
India,TamilNadu,Madurai,"Uchapatti, Madurai - TNPCB","29-08-2025 13:00:00",9.865935,78.022669,NH3,3,4,4
India,TamilNadu,Madurai,"Uchapatti, Madurai - TNPCB","29-08-2025 13:00:00",9.865935,78.022669,CO,20,25,20
India,Uttar_Pradesh,Khurja,"Kalindi Kunj, Khurja - UPPCB","29-08-2025 13:00:00",28.2348927,77.8683002,OZONE,6,10,7
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB","29-08-2025 13:00:00",26.766433,80.927299,NH3,4,5,4
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB","29-08-2025 13:00:00",26.766433,80.927299,SO2,NA,NA,NA
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB","29-08-2025 13:00:00",26.766433,80.927299,OZONE,28,30,28
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","29-08-2025 13:00:00",26.868120,81.005119,PM2.5,30,70,52
